LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 17:45:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 17:50:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 17:55:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:00:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:05:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:10:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:15:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:20:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:25:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:35:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 18:55:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:00:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:05:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:10:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:15:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:20:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:25:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:35:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 19:55:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:00:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:05:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:10:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:15:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:20:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:25:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:35:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 20:55:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:00:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:05:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:10:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:15:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:20:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:25:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:35:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 21:55:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:00:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:05:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:10:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:15:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:20:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:25:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:35:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 22:55:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:00:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:05:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:10:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:15:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:20:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:25:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:30:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:35:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:40:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:45:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:50:00;;;.13;.14;480;;5.75;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/08/2020 23:55:00;;;.13;.14;480;;5.8;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:00:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:05:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:10:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:15:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:20:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:25:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:30:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:35:00;;;.13;.14;480;;5.85;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:40:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:45:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:50:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 00:55:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:00:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:05:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:10:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:15:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:20:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:25:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:30:00;3.5;3.248;.13;.14;480;0;5.9;9.3;18;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:35:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:40:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:45:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:50:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 01:55:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:00:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:05:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:10:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:15:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:20:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:25:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:30:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:35:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:40:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:45:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:50:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 02:55:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:00:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:05:00;;;.13;.14;475;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:10:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:15:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:20:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:25:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:30:00;;;.13;.14;480;;5.9;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:35:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:40:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:45:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:50:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 03:55:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:00:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:05:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:10:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:15:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:20:00;;;.13;.14;480;;6;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:25:00;;;.13;.14;480;;6.05;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:30:00;;;.13;.14;480;;6.05;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:35:00;;;.13;.14;480;;6.05;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:40:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:45:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:50:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 04:55:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 05:00:00;;;.13;.14;480;;5.95;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 05:05:00;;;.13;.14;480;;6.1;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 05:10:00;;;.13;.14;480;;6.1;9.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230450";"3012";"asc";04/09/2020 05:15:00;;;.13;.14;480;;6.1;9.3;;;;;;;;;;;;;;;;;;
